"","X.3","X.2","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City","days"
"59",59,59,59,"2020-03-20",36,139.666666666667,8,0.600000000000001,41.6666666666667,112.666666666667,18.3333333333333,947.333333333333,2.46666666666667,14.8333333333333,4.95473333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",58
"60",60,60,60,"2020-03-21",48,156.666666666667,10,0.633333333333334,44.6666666666667,107.333333333333,24.3333333333333,944.666666666667,2.46666666666667,16,4.94823333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",59
"61",61,61,61,"2020-03-22",55.6666666666667,140.666666666667,11.3333333333333,0.666666666666667,42.6666666666667,113.333333333333,32.3333333333333,945,2.96666666666667,16.8333333333333,4.92193333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",60
"62",62,62,62,"2020-03-23",60,126,12.6666666666667,0.7,38,123,37.3333333333333,947,2.96666666666667,16.6666666666667,4.9237,1.73472347597681e-18,0,0,0,"Sanmenxia",61
"63",63,63,63,"2020-03-24",55.6666666666667,108.666666666667,12,0.7,28.6666666666667,146.333333333333,43.6666666666667,949.666666666667,2.4,16.8333333333333,4.98383333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",62
"64",64,64,64,"2020-03-25",59,100,10.6666666666667,0.733333333333333,25.6666666666667,154,49,948.333333333333,2.96666666666667,17.5,5.08336666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",63
"65",65,65,65,"2020-03-26",51.6666666666667,108.666666666667,8,0.733333333333333,22.3333333333333,122.666666666667,66.6666666666667,944.666666666667,4.4,16.1666666666667,5.02323333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",64
"66",66,66,66,"2020-03-27",40,87.6666666666667,5,0.666666666666667,21,90,82.3333333333333,947.333333333333,4.96666666666667,12.6666666666667,4.94413333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",65
"67",67,67,67,"2020-03-28",26,73,4.66666666666667,0.566666666666667,23,71.3333333333333,95.6666666666667,952,3.9,9.16666666666667,4.85916666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",66
"68",68,68,68,"2020-03-29",25.6666666666667,39,4,0.5,23.3333333333333,78.6666666666667,87.3333333333333,956.333333333333,3.03333333333333,8.16666666666667,4.7535,1.73472347597681e-18,0,0,0,"Sanmenxia",67
"69",69,69,69,"2020-03-30",34.3333333333333,45.6666666666667,4.66666666666667,0.533333333333333,23.6666666666667,93.3333333333333,83,954.333333333333,2.46666666666667,9.16666666666667,4.84796666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",68
"70",70,70,70,"2020-03-31",46.6666666666667,56.3333333333333,5.33333333333333,0.6,28.3333333333333,95,73.6666666666667,952,2.96666666666667,10.6666666666667,4.93143333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",69
