"","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City"
"6866",6866,"2020-01-23",82.5,97.5,5.5,1,32,69,84,982.5,4.1,11.5,6.3798,0,0,0,0,"Luzhou"
"6944",6944,"2020-01-23",149,186,9,1.5,43,48,68.5,984,2.4,1.75,5.25375,0,0,0,0,"Luoyang"
"7100",7100,"2020-01-23",138.5,157.5,11,1.45,42.5,76,77.5,1019.5,0.9,3.75,5.7955,0,0,0,0,"Jining"
"7256",7256,"2020-01-23",147.5,195.5,30.5,2.05,45.5,90,85.5,1020,0.9,3.5,5.1098,0,0,0,0,"Zibo"
"7334",7334,"2020-01-23",111,142,7.5,1.5,38,49.5,93,1020,2.4,3.5,6.36115,0,0,0,0,"Huaibei"
"7412",7412,"2020-01-23",88.5,119.5,8.5,0.95,28,50,96.5,1014,1.65,4.25,6.50075,0,0,0,0,"Huainan"
"7490",7490,"2020-01-23",23.5,29,4.5,0.55,11.5,65,90.5,1022,1.65,6,6.30725,0,0,0,0,"Huaian"
"7724",7724,"2020-01-23",165,207.5,15.5,1.85,44,71.5,77.5,946.5,1.65,2.25,5.40225,0,0,0,0,"Weinan"
"7802",7802,"2020-01-23",30.5,42.5,3.5,1.2,26,57.5,96,1021,0.1,7.5,3.73385,0,0,0,0,"Huzhou"
"7880",7880,"2020-01-23",39,36,4,0.95,23,44,94.5,1013.5,2.4,8,5.2915,0,0,0,0,"Xiangtan"
"7958",7958,"2020-01-23",55,69,6,0.85,26.5,61.5,92,1019,2.4,5.5,6.19595,0,0,0,0,"Chuzhou"
"8036",8036,"2020-01-23",163.5,200,22,2.1,56.5,82,83.5,1022,0.9,2.5,5.5973,0,0,0,0,"Binzhou"
"8114",8114,"2020-01-23",185,199.5,6.5,1.6,33.5,54.5,93,1017.5,0.1,2,5.71475,0,0,0,0,"Tahe"
"8192",8192,"2020-01-23",129.5,174,12.5,1.6,43.5,82,81.5,1022,0.5,3.5,4.71185,0,0,0,0,"Weifang"
"8270",8270,"2020-01-23",198.5,219.5,6,1.9,36.5,50,89,1017.5,0.5,2,6.2902,0,0,0,0,"Puyang"
"8348",8348,"2020-01-23",190,253.5,19.5,2.45,50,50,76.5,1010.5,0.5,2.5,5.6074,0,0,0,0,"Jiaozuo"
"8504",8504,"2020-01-23",73,82,2,1.5,14.5,47.5,71.2315900562855,991.765358557431,2.23376068376095,6.5,6.10335,0,0,0,0,"Yiyang"
"8582",8582,"2020-01-23",17,25,2,0.4,12.5,83,90.5,1022.5,1.65,7.5,6.02285,0,0,0,0,"Yancheng"
"8660",8660,"2020-01-23",85,108.5,9,1.2,34,56.5,86,969.5,0.1,9.75,5.60495,0,0,0,0,"Meishan"
"8894",8894,"2020-01-23",117,163.5,26.5,2.55,52.5,56.5,81,1023.5,0.9,-0.25,5.08595,0,0,0,0,"Qinhuangdao"
"9050",9050,"2020-01-23",92,119.5,5,1,38.5,57.5,75,957.5,4.1,9.25,5.6941,0,0,0,0,"Mianyang"
"9128",9128,"2020-01-23",174,217.5,8.5,2.2,45.5,54.5,88,1020,1.65,2.5,5.6987,0,0,0,0,"Liaocheng"
"9206",9206,"2020-01-23",45.5,56.5,7,0.9,23.5,78,89.5,1012,1.65,19.75,4.36755,0,0,0,0,"Zhaoqing"
"9284",9284,"2020-01-23",110,131,6,1.1,37,70,68,977,0.5,11.5,6.48605,0,0,0,0,"Zigong"
"9362",9362,"2020-01-23",28.5,37,6.5,1.1,25.5,80,85,1018,1.65,12,4.21365,0,0,0,0,"Zhoushan"
"9440",9440,"2020-01-23",77,57,5.5,0.9,34.5,36,96.5,1020.5,0.5,5.75,5.08675,0,0,0,0,"Wuhu"
"9596",9596,"2020-01-23",92.5,125.5,6,1.15,20,56,96,1019,1.65,6.75,5.665,0,0,0,0,"Jingzhou"
"9674",9674,"2020-01-23",119.5,98.5,9,1,18,75,78,999.5,3.25,5.25,5.64135,0,0,0,0,"Jingmen"
"9752",9752,"2020-01-23",160,221.5,11,1.6,31.5,62,87,1018,2.4,2.75,6.0657,0,0,0,0,"Heze"
"9830",9830,"2020-01-23",47,66,9.5,2,28.5,20.5,91.5,1006,2.5,9.75,5.29935,0,0,0,0,"Pingxiang"
"9908",9908,"2020-01-23",99,131,49,1.45,39,54,81,1022.5,3.25,-2.5,5.8877,0,0,0,0,"Huludao"
"9986",9986,"2020-01-23",75.5,100,8.5,0.85,25,54.5,95,1019.5,1.65,5,6.91705,0,0,0,0,"Bangbu"
"10064",10064,"2020-01-23",248.5,307,15,2.7,68,71,92.5,1021.5,0.5,0.5,5.61965,0,0,0,0,"Hengshui"
