"","City","POP","GDP","PRIM","SEC","TERT","X.60yr.","BED","DOC","NRS","Area","POPDENS","GDPpc","Prim.","Sec.","Tert.","ACTV","TVLR","TVLR."
"77","Nanjing",8500,203.041244573082,4.19421128798842,72.9502170767004,125.896816208394,18.243677,6.941176471,4.2,4.941176471,6587,1290.42052527706,23.8872052438921,2.06569423705377,35.9287676895828,62.0055380733634,5.458585714,14.17413,1.667545
"78","Wuxi",6591.5,171.524167872648,1.77279305354559,81.4454413892909,88.3059334298119,20.861715,7.676553137,3.519684442,3.706441554,4627,1424.57315755349,26.0220234958125,1.03355292465948,47.4833619072047,51.4830851681359,5.465371429,4.238445,0.643017
"79","Xuzhou",8825.6,103.492764109986,9.88133140376266,41.7681620839363,51.8432706222865,18.2835352,6.911711385,3.24,3.648477157,11765,750.157246068848,11.7264281306637,9.54784760919267,40.3585337034266,50.0936186873807,5.895957143,7.468095,0.846186
"80","Changzhou",4736,107.104196816208,2.27206946454414,51.0738060781476,53.7583212735166,19.3686617,5.975506757,3.125,3.462837838,4372,1083.2570905764,22.6149064223413,2.12136361793836,47.6860922320258,50.1925441500358,5.526457143,1.370025,0.289279
"81","Suzhou",10750,278.376266280752,2.8465991316932,132.130246020261,143.399421128799,21.1155814,6.669767442,3.302325581,3.758139535,8657,1241.76966616611,25.8954666307677,1.0225724950353,47.4646232545566,51.5128042504081,5.308178571,9.432525,0.877444
"82","Nantong",7318,135.794500723589,6.205499276411,66.6005788712012,62.9840810419682,31.9784641,6.285870456,2.869636513,3.00628587,10549,693.715044080008,18.5562313095913,4.56977215081953,49.0451222371422,46.3819084766716,5.673485714,6.27843,0.857943
"83","Lianyungang",4511,45.4311143270622,5.24891461649783,19.7272069464544,20.45499276411,20.9709599,6.229217468,2.859676347,3.170028818,7615,592.383453709783,10.0711847322239,11.5535678449586,43.4222387864772,45.0241933685642,5.733521429,0,0
"84","Huaian",4932.6,56.0232995658466,5.589001447178,23.4034732272069,27.0308248914616,23.1250912,6.158212707,2.955642055,3.338604387,10030,491.784646061815,11.3577625523753,9.97620898892078,41.7745356103131,48.2492554007662,5.972735714,0,0
"85","Yancheng",7208.9,82.5224312590449,8.97105643994211,34.3212735166425,39.2301013024602,27.4557544,5.590311975,2.718861407,2.413683086,16931,425.781111570492,11.4472986529214,10.8710520316364,41.5902355190011,47.5387124493625,5.631885714,1.06757,0.148091
"86","Yangzhou",4549,84.6610709117221,4.23733719247467,40.2056439942113,40.2180897250362,28.0796811,5.494394372,2.760386898,2.661903715,6591,690.183583674708,18.6109190836936,5.00505975986653,47.4901197932336,47.5048204468999,5.788485714,1.72968,0.380233
"87","Zhenjiang",3203.5,59.7296671490593,2.02894356005789,29.0128798842258,28.6878437047757,23.5754641,4.945840487,2.643670985,2.982987358,3840,834.244791666667,18.6451278754672,3.39687739259374,48.5736506982739,48.0294719091323,5.344914286,0.267,0.0833
"88","Taizhou",4636.1,74.2888567293777,4.23299565846599,36.5554269175109,33.5004341534009,30.1920016,6.44615086,2.870731865,2.860809732,5787,801.123207188526,16.0239979140609,5.69802234793585,49.2071469758599,45.0948306762043,5.92165,2.727135,0.588239
"89","Suqian",5923.6,44.8513748191028,4.69753979739508,19.1657018813314,20.9881331403763,9.6697346,4.988182862,2.351441691,3.260541031,8524,694.93195682778,7.5716413699613,10.4735692413922,42.7315817154583,46.7948490431494,5.998985714,0,0
"90","Hangzhou",10360,222.474674384949,4.7178002894356,70.5499276410999,147.206946454414,18.387328,8.301158301,4.72972973,5.308880309,16853,614.727348246603,21.4743894193967,2.12060105379562,31.7114421388148,66.1679568073896,5.119142857,12.749705,1.230667
"91","Ningbo",8542,173.444283646889,4.65991316931983,83.6903039073806,85.0940665701881,21.3820248,5.033949895,3.512058066,3.629126668,9816,870.211898940505,20.3048798462759,2.68669169795578,48.2519816437213,49.0613266583229,4.968107143,3.25362,0.380897
"92","Wenzhou",9300,95.6020260492041,2.19536903039074,40.6931982633864,52.7134587554269,16.9744906,4.737419355,3.239569892,3.14172043,12110,767.960363336086,10.2797877472262,2.29636245288446,42.5652048863929,55.1384326607227,4.739471429,10.71585,1.152242
"93","Shaoxing",5057,83.6613603473227,3.01013024602026,40.1013024602026,40.5499276410999,23.5723967,5.651769824,3.225627843,3.298200514,8279,610.822563111487,16.5436741837696,3.59799342674278,47.932883584155,48.4691229891022,4.831178571,0.652155,0.128961
