"","City","POP","GDP","PRIM","SEC","TERT","X.60yr.","BED","DOC","NRS","Area","POPDENS","GDPpc","Prim.","Sec.","Tert.","ACTV","TVLR","TVLR."
"70","Xinyang",6463.9,39.9199710564399,7.2027496382055,14.6004341534009,18.1167872648336,19.6960031,5.625087022,2.038397871,2.1315305,18787,344.062383563102,42.675010442612,18.0429730974054,36.5742603689727,45.3827665336219,6.221728571,74.214275,11.481346
"71","Zhoukou",8662.2,46.2878437047757,6.86729377713459,20.3474674384949,19.0730824891462,20.0612439,5.42,2.1357161,2.077994043,11961,724.203661901179,36.9246842603496,14.8360632673543,43.9585554433498,41.2053812892959,6.62495,21.963125,2.535513
"72","Zhumadian",7045.8,39.682489146165,6.77163531114327,15.9464544138929,16.9645441389291,18.6241181,6.188083681,1.632178035,1.901842232,15065,467.693328908065,38.917653069914,17.0645427160602,40.1851162994245,42.7507056738365,6.291371429,32.694515,4.640284
"73","Luoyang",6922.2,72.8639652677279,3.54703328509407,33.7279305354559,35.589001447178,18.0760429,7.653491664,3.014359597,3.479674092,15236,454.331845628774,72.735546502557,4.86802121194065,46.2889034538918,48.8430753341675,5.512228571,9.356045,1.3516
"74","Sanmenxia",2276.5,20.8946454413893,1.97076700434153,10.2008683068017,8.72301013024602,19.8157492,6.744564024,2.662420382,2.93740391,10496,216.892149390244,63.4227981550626,9.43192364699201,48.8204900887922,41.7475862642158,5.421814286,0,0
"79","Xuzhou",8825.6,103.492764109986,9.88133140376266,41.7681620839363,51.8432706222865,18.2835352,6.911711385,3.24,3.648477157,11765,750.157246068848,81.0296183828862,9.54784760919267,40.3585337034266,50.0936186873807,5.895957143,7.468095,0.846186
"82","Nantong",7318,135.794500723589,6.205499276411,66.6005788712012,62.9840810419682,31.9784641,6.285870456,2.869636513,3.00628587,10549,693.715044080008,128.223558349276,4.56977215081953,49.0451222371422,46.3819084766716,5.673485714,6.27843,0.857943
"83","Lianyungang",4511,45.4311143270622,5.24891461649783,19.7272069464544,20.45499276411,20.9709599,6.229217468,2.859676347,3.170028818,7615,592.383453709783,69.5918864996675,11.5535678449586,43.4222387864772,45.0241933685642,5.733521429,0,0
"84","Huaian",4932.6,56.0232995658466,5.589001447178,23.4034732272069,27.0308248914616,23.1250912,6.158212707,2.955642055,3.338604387,10030,491.784646061815,78.4821392369136,9.97620898892078,41.7745356103131,48.2492554007662,5.972735714,0,0
"85","Yancheng",7208.9,82.5224312590449,8.97105643994211,34.3212735166425,39.2301013024602,27.4557544,5.590311975,2.718861407,2.413683086,16931,425.781111570492,79.1008336916867,10.8710520316364,41.5902355190011,47.5387124493625,5.631885714,1.06757,0.148091
